City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
245,Saint-Joseph,RE,2021-12-15 18:51:57,-21.3667,55.6167,75.58,77,12,12.01,light rain
246,Hirara,JP,2021-12-15 18:51:58,24.8,125.2833,72.84,69,4,17.9,clear sky
247,Igbo Ora,NG,2021-12-15 18:51:58,7.4333,3.2833,88.48,36,51,3.11,broken clouds
248,Vao,NC,2021-12-15 18:45:41,-22.6667,167.4833,75.24,68,17,8.75,few clouds
249,Yulara,AU,2021-12-15 18:43:04,-25.2406,130.9889,69.64,68,0,4.61,clear sky
250,Maroantsetra,MG,2021-12-15 18:51:59,-15.4333,49.7333,75.67,85,15,5.19,light rain
251,Olinda,BR,2021-12-15 18:46:07,-8.0089,-34.8553,83.93,70,75,12.66,broken clouds
252,Baturaja,ID,2021-12-15 18:52:00,-4.1333,104.1667,74.23,97,99,1.59,moderate rain
253,Nouakchott,MR,2021-12-15 18:52:02,18.0858,-15.9785,71.53,62,3,15.59,clear sky
254,Kulhudhuffushi,MV,2021-12-15 18:52:02,6.6221,73.07,81.19,77,100,6.33,overcast clouds
255,Mpika,ZM,2021-12-15 18:52:03,-11.8343,31.4529,72.46,36,71,10.02,broken clouds
256,Guasdualito,VE,2021-12-15 18:52:04,7.2424,-70.7324,86.0,62,40,6.91,scattered clouds
257,Carira,BR,2021-12-15 18:52:05,-10.3608,-37.7011,89.96,35,100,17.87,overcast clouds
